location_of_centre,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,name_of_centre,type_of_centre,no_of_stalls,owner,_id
Blk 84 Marine Parade Central S(440084),55,143,Blk 84 Marine Parade Central,MHC,198,HDB,86
Blk 85 Bedok North Street 4 S(460085),72,142,Blk 85 Bedok North Street 4,MHC,214,HDB,87
Blk 85 Redhill Lane S(150085),96,0,Blk 85 Redhill Lane,HC,96,HDB,88
Blk 89 Circuit Road S(370089),40,93,Blk 89 Circuit Road,MHC,133,HDB,89
Blk 90 Whampoa Drive S(320090),80,12,Blk 90 Whampoa Drive,MHC,92,HDB,90
Blk 93 Lorong 4 Toa Payoh S(310093),28,32,Blk 93 Toa Payoh Lorong 4,MHC,60,HDB,91
Blk 13/14 Haig Road S(430013/430014),72,79,Blks 13/14 Haig Road,MHC,151,HDB,92
Blk 160/162 Ang Mo Kio Ave 4 S(560160/560162),40,84,Blks 160/162 Ang Mo Kio Ave 4,MHC,124,HDB,93
Blk 1A/ 2A/ 3A Commonwealth Drive S(141001/141002/141003),40,0,Blks 1A/ 2A/ 3A Commonwealth Drive,HC,40,HDB,94
Blk 2/3 Changi Village Road S(500002/500003),87,42,Blks 2 & 3 Changi Village Road,MHC,129,HDB,95
Blk 20/21 Marsiling Lane S(730020/730021),52,112,Blks 20/21 Marsiling Lane,MHC,164,HDB,96
Blk 221A/B Boon Lay Place S(641221/642221),72,94,Blks 221 A/B Boon Lay Place,MHC,166,HDB,97
Blk 22A/B Havelock Road S(161022/162022),30,0,Blks 22A/B Havelock Road,HC,30,HDB,98
Blk 79/79A Circuit Road S(370079/371079),106,0,Blks 79/79A Circuit Road,HC,106,HDB,99
Blk 91/92 Whampoa Drive S(320091/320092),52,112,Blks 91/92 Whampoa Drive,MHC,164,HDB,100
