storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng,nearest_mall,nearest_mall_dist,nearest_MRT,nearest_MRT_dist,dist_to_Orchard
38,60,Dbss,92.83,565000,Feb-21,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
23,60,Dbss,92.92,518000,Jan-21,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
26,60,Dbss,93.0,543000,Jan-21,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
38,60,Dbss,93.0,538888,Jan-21,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
20,61,Model A,81.25,400000,Dec-20,Clementi,1.3125343,103.7717325,321 Clementi Singapore,0.7501929293744154,Dover MRT,0.774811818999496,6.7408491467243605
23,60,Dbss,93.08,555000,Dec-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
41,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
17,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
36,60,Dbss,93.17,465000,Nov-20,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
38,60,Dbss,93.17,558000,Nov-20,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
17,60,Dbss,93.17,518000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
29,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
38,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
36,60,Dbss,93.08,550000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
23,69,Model A,94.83,608000,Nov-21,Clementi,1.3197115,103.7644447,The Clementi Mall Singapore,0.5332266205360529,Clementi MRT,0.4820600100485122,7.685046230717792
