block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
210C,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,340000,2019-03,0.0573088,3 ROOM
212B,PUNGGOL WALK,10 TO 12,67,Model A,2015,9.42,342000,2019-03,0.0573088,3 ROOM
210C,PUNGGOL PL,16 TO 18,67,Model A,2014,9.33,343000,2019-03,0.0573088,3 ROOM
212A,PUNGGOL WALK,10 TO 12,67,Model A,2015,9.42,350000,2019-03,0.0573088,3 ROOM
212A,PUNGGOL WALK,10 TO 12,67,Model A,2015,9.42,353000,2019-03,0.0573088,3 ROOM
211D,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.33,370000,2019-03,0.0573088,3 ROOM
266C,PUNGGOL WAY,16 TO 18,67,Model A,2015,9.42,396000,2019-03,0.0573088,3 ROOM
208B,PUNGGOL PL,07 TO 09,67,Model A,2014,9.33,377000,2019-04,0.0573088,3 ROOM
209A,PUNGGOL PL,01 TO 03,67,Model A,2014,9.33,327000,2019-04,0.0573088,3 ROOM
210C,PUNGGOL PL,01 TO 03,67,Model A,2014,9.33,345000,2019-04,0.0573088,3 ROOM
622B,PUNGGOL CTRL,07 TO 09,69,Model A,2014,9.33,347000,2019-04,0.0573088,3 ROOM
266C,PUNGGOL WAY,01 TO 03,67,Model A,2015,9.42,350000,2019-04,0.0573088,3 ROOM
210C,PUNGGOL PL,07 TO 09,67,Model A,2014,9.33,350000,2019-04,0.0573088,3 ROOM
210C,PUNGGOL PL,10 TO 12,67,Model A,2014,9.33,352000,2019-04,0.0573088,3 ROOM
266C,PUNGGOL WAY,10 TO 12,67,Model A,2015,9.42,368000,2019-04,0.0573088,3 ROOM
266B,PUNGGOL WAY,13 TO 15,67,Model A,2015,9.42,370000,2019-04,0.0573088,3 ROOM
211D,PUNGGOL WALK,04 TO 06,67,Model A,2014,9.33,370000,2019-04,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,9.33,372000,2019-04,0.0573088,3 ROOM
211D,PUNGGOL WALK,01 TO 03,67,Model A,2014,9.25,315000,2019-05,0.0573088,3 ROOM
266B,PUNGGOL WAY,04 TO 06,67,Model A,2015,9.42,325000,2019-05,0.0573088,3 ROOM
212A,PUNGGOL WALK,10 TO 12,67,Model A,2015,9.33,340000,2019-05,0.0573088,3 ROOM
211A,PUNGGOL WALK,07 TO 09,67,Model A,2014,9.25,355000,2019-05,0.0573088,3 ROOM
212A,PUNGGOL WALK,13 TO 15,67,Model A,2015,9.33,360000,2019-05,0.0573088,3 ROOM
288B,PUNGGOL PL,10 TO 12,72,Premium Apartment,2013,9.17,365000,2019-05,0.0573088,3 ROOM
266C,PUNGGOL WAY,10 TO 12,67,Model A,2015,9.42,365000,2019-05,0.0573088,3 ROOM
212B,PUNGGOL WALK,13 TO 15,67,Model A,2015,9.33,370000,2019-05,0.0573088,3 ROOM
266B,PUNGGOL WAY,10 TO 12,67,Model A,2015,9.42,375000,2019-05,0.0573088,3 ROOM
602A,PUNGGOL CTRL,07 TO 09,70,Model A,2012,9.17,318000,2019-06,0.0573088,3 ROOM
209C,PUNGGOL PL,10 TO 12,67,Model A,2014,9.33,353000,2019-06,0.0573088,3 ROOM
623C,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.25,360000,2019-06,0.0573088,3 ROOM
266C,PUNGGOL WAY,13 TO 15,67,Model A,2015,9.42,369000,2019-06,0.0573088,3 ROOM
209A,PUNGGOL PL,13 TO 15,67,Model A,2014,9.33,370000,2019-06,0.0573088,3 ROOM
312A,SUMANG LINK,13 TO 15,68,Model A,2015,9.42,370000,2019-06,0.0573088,3 ROOM
305D,PUNGGOL DR,07 TO 09,67,Premium Apartment,2012,9.17,375000,2019-06,0.0573088,3 ROOM
305B,PUNGGOL RD,07 TO 09,67,Premium Apartment,2012,9.17,375000,2019-06,0.0573088,3 ROOM
288B,PUNGGOL PL,13 TO 15,71,Premium Apartment,2013,9.17,415000,2019-06,0.0573088,3 ROOM
208B,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,332000,2019-07,0.0573088,3 ROOM
210C,PUNGGOL PL,01 TO 03,67,Model A,2014,9.33,335000,2019-07,0.0573088,3 ROOM
622B,PUNGGOL CTRL,04 TO 06,69,Model A,2014,9.25,345000,2019-07,0.0573088,3 ROOM
209B,PUNGGOL PL,13 TO 15,67,Model A,2014,9.33,352000,2019-07,0.0573088,3 ROOM
208B,PUNGGOL PL,13 TO 15,67,Model A,2014,9.25,360000,2019-07,0.0573088,3 ROOM
212B,PUNGGOL WALK,10 TO 12,67,Model A,2015,9.33,360000,2019-07,0.0573088,3 ROOM
266C,PUNGGOL WAY,07 TO 09,67,Model A,2015,9.33,368000,2019-07,0.0573088,3 ROOM
